strikePrice,expiryDate,identifier_CE,identifier_PE,CE_OI,PE_OI,CE_TotVol,PE_TotVol,CE_LTP,PE_LTP
54100,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54100.00,OPTIDXBANKNIFTY28-08-2025PE54100.00,17.0,1247.0,0,984,0.0,172.05
54100,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE54100.00,OPTIDXBANKNIFTY30-09-2025PE54100.00,3.0,0.0,7,0,2300.0,0.0
54200,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54200.00,OPTIDXBANKNIFTY28-08-2025PE54200.00,9.0,996.0,0,491,0.0,190.0
54300,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54300.00,OPTIDXBANKNIFTY28-08-2025PE54300.00,104.0,1003.0,0,1038,0.0,205.8
54400,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54400.00,OPTIDXBANKNIFTY28-08-2025PE54400.00,13.0,1057.0,0,506,0.0,228.8
54500,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54500.00,OPTIDXBANKNIFTY28-08-2025PE54500.00,848.0,13708.0,140,3807,1488.1,241.85
54500,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE54500.00,OPTIDXBANKNIFTY30-09-2025PE54500.00,38.0,0.0,3,0,2000.0,0.0
54600,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54600.00,OPTIDXBANKNIFTY28-08-2025PE54600.00,30.0,1353.0,0,779,0.0,265.2
54700,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54700.00,OPTIDXBANKNIFTY28-08-2025PE54700.00,159.0,1047.0,0,682,0.0,287.8
54800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54800.00,OPTIDXBANKNIFTY28-08-2025PE54800.00,195.0,2109.0,12,1263,1262.25,312.2
54900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54900.00,OPTIDXBANKNIFTY28-08-2025PE54900.00,95.0,1138.0,4,908,1178.7,337.35
55000,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55000.00,OPTIDXBANKNIFTY28-08-2025PE55000.00,6081.0,24226.0,2085,5921,1113.9,366.5
55000,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE55000.00,OPTIDXBANKNIFTY30-09-2025PE55000.00,562.0,3675.0,60,63,1630.9,583.55
55000,28-Oct-2025,OPTIDXBANKNIFTY28-10-2025CE55000.00,OPTIDXBANKNIFTY28-10-2025PE55000.00,11.0,163.0,2,6,1990.0,735.0
55100,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55100.00,OPTIDXBANKNIFTY28-08-2025PE55100.00,220.0,1803.0,135,1820,1039.0,403.0
55100,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE55100.00,OPTIDXBANKNIFTY30-09-2025PE55100.00,0.0,26.0,0,9,0.0,621.5
55200,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55200.00,OPTIDXBANKNIFTY28-08-2025PE55200.00,474.0,2305.0,308,2438,992.85,429.3
55300,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55300.00,OPTIDXBANKNIFTY28-08-2025PE55300.00,529.0,2068.0,776,3096,915.0,463.8
55300,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE55300.00,OPTIDXBANKNIFTY30-09-2025PE55300.00,0.0,52.0,0,20,0.0,688.0
55400,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55400.00,OPTIDXBANKNIFTY28-08-2025PE55400.00,1763.0,2953.0,2385,3708,843.4,510.4
55400,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE55400.00,OPTIDXBANKNIFTY30-09-2025PE55400.00,22.0,53.0,0,28,0.0,726.05
55500,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55500.00,OPTIDXBANKNIFTY28-08-2025PE55500.00,12371.0,19725.0,13018,16403,795.2,541.6
55500,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE55500.00,OPTIDXBANKNIFTY30-09-2025PE55500.00,658.0,1782.5714285714287,33,144,1307.1,756.3
55600,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55600.00,OPTIDXBANKNIFTY28-08-2025PE55600.00,8152.0,6997.0,11551,13958,741.15,582.15
55600,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE55600.00,OPTIDXBANKNIFTY30-09-2025PE55600.00,64.0,75.0,11,19,1235.0,795.2
55700,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55700.00,OPTIDXBANKNIFTY28-08-2025PE55700.00,6351.0,5903.0,7264,9041,672.3,627.45
55700,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE55700.00,OPTIDXBANKNIFTY30-09-2025PE55700.00,142.0,80.0,4,0,1191.35,0.0
55800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55800.00,OPTIDXBANKNIFTY28-08-2025PE55800.00,7973.0,6338.0,7576,5938,629.8,673.95
55900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55900.00,OPTIDXBANKNIFTY28-08-2025PE55900.00,4679.0,3737.0,3741,2456,581.2,723.2
56000,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56000.00,OPTIDXBANKNIFTY28-08-2025PE56000.00,29890.0,27054.0,12628,6670,533.0,775.25
56000,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE56000.00,OPTIDXBANKNIFTY30-09-2025PE56000.00,1500.0,2539.0,156,137,1020.15,965.0
56000,28-Oct-2025,OPTIDXBANKNIFTY28-10-2025CE56000.00,OPTIDXBANKNIFTY28-10-2025PE56000.00,201.0,68.0,11,1,1375.0,1113.1
56100,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56100.00,OPTIDXBANKNIFTY28-08-2025PE56100.00,4700.0,2016.0,2442,935,486.5,842.6
56100,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE56100.00,OPTIDXBANKNIFTY30-09-2025PE56100.00,82.0,99.0,15,13,975.5,1027.0
56200,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56200.00,OPTIDXBANKNIFTY28-08-2025PE56200.00,5319.0,2140.0,3151,967,444.65,888.9
56200,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE56200.00,OPTIDXBANKNIFTY30-09-2025PE56200.00,146.0,80.0,155,0,924.95,0.0
56300,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56300.00,OPTIDXBANKNIFTY28-08-2025PE56300.00,5349.0,1743.0,2345,629,404.25,947.9
56400,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56400.00,OPTIDXBANKNIFTY28-08-2025PE56400.00,4969.0,1222.0,2758,228,361.0,1008.0
56400,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE56400.00,OPTIDXBANKNIFTY30-09-2025PE56400.00,119.0,69.0,96,0,824.05,0.0
56500,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56500.00,OPTIDXBANKNIFTY28-08-2025PE56500.00,17951.0,8590.0,6200,920,334.0,1070.6
56500,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE56500.00,OPTIDXBANKNIFTY30-09-2025PE56500.00,1232.0,1020.0,46,44,765.0,1206.05
56500,28-Oct-2025,OPTIDXBANKNIFTY28-10-2025CE56500.00,OPTIDXBANKNIFTY28-10-2025PE56500.00,5.0,0.0,4,0,1126.7,0.0
56600,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56600.00,OPTIDXBANKNIFTY28-08-2025PE56600.00,3582.0,834.0,2951,83,301.95,1131.0
56700,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56700.00,OPTIDXBANKNIFTY28-08-2025PE56700.00,3643.0,650.0,1860,30,271.15,1219.9
56800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56800.00,OPTIDXBANKNIFTY28-08-2025PE56800.00,4580.0,803.0,2850,13,244.7,1291.4
56800,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE56800.00,OPTIDXBANKNIFTY30-09-2025PE56800.00,66.0,66.0,1,0,647.5,0.0
56900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56900.00,OPTIDXBANKNIFTY28-08-2025PE56900.00,2430.0,699.0,1208,46,220.3,1362.75
56900,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE56900.00,OPTIDXBANKNIFTY30-09-2025PE56900.00,34.0,39.0,1,0,600.0,0.0
57000,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE57000.00,OPTIDXBANKNIFTY28-08-2025PE57000.00,61199.0,40140.0,9299,837,195.75,1433.0
57000,30-Sep-2025,OPTIDXBANKNIFTY30-09-2025CE57000.00,OPTIDXBANKNIFTY30-09-2025PE57000.00,2430.5714285714284,2240.8571428571427,368,20,575.0,1521.35
57000,30-Dec-2025,OPTIDXBANKNIFTY30-12-2025CE57000.00,OPTIDXBANKNIFTY30-12-2025PE57000.00,1062.0,4541.0,44,4,1680.45,1620.0
