strikePrice,expiryDate,PE,CE
24250,28-Aug-2025,"{'strikePrice': 24250, 'expiryDate': '28-Aug-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-08-2025PE24250.00', 'openInterest': 268, 'changeinOpenInterest': 51, 'pchangeinOpenInterest': 23.502304147465438, 'totalTradedVolume': 232, 'impliedVolatility': 12.87, 'lastPrice': 73.2, 'change': -27.200000000000003, 'pChange': -27.091633466135463, 'totalBuyQuantity': 4575, 'totalSellQuantity': 1800, 'bidQty': 300, 'bidprice': 68.6, 'askQty': 900, 'askPrice': 89.6, 'underlyingValue': 25095.65}","{'strikePrice': 24250, 'expiryDate': '28-Aug-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-08-2025CE24250.00', 'openInterest': 14, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4875, 'totalSellQuantity': 5250, 'bidQty': 1425, 'bidprice': 755.45, 'askQty': 1725, 'askPrice': 1156.4, 'underlyingValue': 25095.65}"
24250,25-Sep-2025,"{'strikePrice': 24250, 'expiryDate': '25-Sep-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-09-2025PE24250.00', 'openInterest': 112, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 6, 'impliedVolatility': 13.82, 'lastPrice': 146.65, 'change': -41.04999999999998, 'pChange': -21.8700053276505, 'totalBuyQuantity': 3600, 'totalSellQuantity': 3600, 'bidQty': 900, 'bidprice': 129.65, 'askQty': 900, 'askPrice': 176.15, 'underlyingValue': 25095.65}","{'strikePrice': 24250, 'expiryDate': '25-Sep-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-09-2025CE24250.00', 'openInterest': 2, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1800, 'totalSellQuantity': 5250, 'bidQty': 1800, 'bidprice': 984.9, 'askQty': 1725, 'askPrice': 1360, 'underlyingValue': 25095.65}"
24300,24-Jul-2025,"{'strikePrice': 24300, 'expiryDate': '24-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-07-2025PE24300.00', 'openInterest': 49091, 'changeinOpenInterest': 20198, 'pchangeinOpenInterest': 69.90620565534904, 'totalTradedVolume': 486928, 'impliedVolatility': 17.78, 'lastPrice': 2.75, 'change': -5.800000000000001, 'pChange': -67.83625730994153, 'totalBuyQuantity': 76650, 'totalSellQuantity': 76275, 'bidQty': 1575, 'bidprice': 2.75, 'askQty': 300, 'askPrice': 3.05, 'underlyingValue': 25095.65}","{'strikePrice': 24300, 'expiryDate': '24-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-07-2025CE24300.00', 'openInterest': 204, 'changeinOpenInterest': 11, 'pchangeinOpenInterest': 5.699481865284974, 'totalTradedVolume': 162, 'impliedVolatility': 12.44, 'lastPrice': 815.75, 'change': 89.04999999999995, 'pChange': 12.254025044722711, 'totalBuyQuantity': 15300, 'totalSellQuantity': 14775, 'bidQty': 150, 'bidprice': 819, 'askQty': 300, 'askPrice': 824.15, 'underlyingValue': 25095.65}"
24300,31-Jul-2025,"{'strikePrice': 24300, 'expiryDate': '31-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-07-2025PE24300.00', 'openInterest': 11691, 'changeinOpenInterest': 815, 'pchangeinOpenInterest': 7.493563810224347, 'totalTradedVolume': 34225, 'impliedVolatility': 0, 'lastPrice': 13.4, 'change': -14.35, 'pChange': -51.71171171171171, 'totalBuyQuantity': 45825, 'totalSellQuantity': 17550, 'bidQty': 75, 'bidprice': 13.2, 'askQty': 675, 'askPrice': 13.4, 'underlyingValue': 25095.65}","{'strikePrice': 24300, 'expiryDate': '31-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY31-07-2025CE24300.00', 'openInterest': 469, 'changeinOpenInterest': -17, 'pchangeinOpenInterest': -3.4979423868312756, 'totalTradedVolume': 109, 'impliedVolatility': 0, 'lastPrice': 850, 'change': 85.64999999999998, 'pChange': 11.205599529011575, 'totalBuyQuantity': 5700, 'totalSellQuantity': 7200, 'bidQty': 75, 'bidprice': 839.4, 'askQty': 375, 'askPrice': 858.25, 'underlyingValue': 25095.65}"
24300,07-Aug-2025,"{'strikePrice': 24300, 'expiryDate': '07-Aug-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY07-08-2025PE24300.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 15000, 'totalSellQuantity': 5250, 'bidQty': 900, 'bidprice': 26.65, 'askQty': 900, 'askPrice': 98.5, 'underlyingValue': 25095.65}","{'strikePrice': 24300, 'expiryDate': '07-Aug-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY07-08-2025CE24300.00', 'openInterest': 8, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4350, 'totalSellQuantity': 0, 'bidQty': 1725, 'bidprice': 704.8, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 25095.65}"
24300,14-Aug-2025,"{'strikePrice': 24300, 'expiryDate': '14-Aug-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY14-08-2025PE24300.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 9900, 'totalSellQuantity': 900, 'bidQty': 1800, 'bidprice': 39.2, 'askQty': 900, 'askPrice': 129, 'underlyingValue': 25095.65}",
24300,21-Aug-2025,"{'strikePrice': 24300, 'expiryDate': '21-Aug-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY21-08-2025PE24300.00', 'openInterest': 1, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4650, 'totalSellQuantity': 1125, 'bidQty': 900, 'bidprice': 48.6, 'askQty': 900, 'askPrice': 86.5, 'underlyingValue': 25095.65}",
24300,28-Aug-2025,"{'strikePrice': 24300, 'expiryDate': '28-Aug-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-08-2025PE24300.00', 'openInterest': 6923, 'changeinOpenInterest': 3078, 'pchangeinOpenInterest': 80.0520156046814, 'totalTradedVolume': 8483, 'impliedVolatility': 12.78, 'lastPrice': 76.95, 'change': -30.549999999999997, 'pChange': -28.418604651162788, 'totalBuyQuantity': 7950, 'totalSellQuantity': 4800, 'bidQty': 225, 'bidprice': 76.2, 'askQty': 75, 'askPrice': 79.2, 'underlyingValue': 25095.65}","{'strikePrice': 24300, 'expiryDate': '28-Aug-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY28-08-2025CE24300.00', 'openInterest': 52, 'changeinOpenInterest': 14, 'pchangeinOpenInterest': 36.8421052631579, 'totalTradedVolume': 45, 'impliedVolatility': 0, 'lastPrice': 1010, 'change': 60.39999999999998, 'pChange': 6.36057287278854, 'totalBuyQuantity': 5700, 'totalSellQuantity': 5775, 'bidQty': 75, 'bidprice': 988.75, 'askQty': 150, 'askPrice': 1037.55, 'underlyingValue': 25095.65}"
24300,25-Sep-2025,"{'strikePrice': 24300, 'expiryDate': '25-Sep-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-09-2025PE24300.00', 'openInterest': 5022, 'changeinOpenInterest': 30, 'pchangeinOpenInterest': 0.6009615384615384, 'totalTradedVolume': 215, 'impliedVolatility': 13.63, 'lastPrice': 149.6, 'change': -38.80000000000001, 'pChange': -20.594479830148625, 'totalBuyQuantity': 4575, 'totalSellQuantity': 4875, 'bidQty': 75, 'bidprice': 140.8, 'askQty': 75, 'askPrice': 159, 'underlyingValue': 25095.65}","{'strikePrice': 24300, 'expiryDate': '25-Sep-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY25-09-2025CE24300.00', 'openInterest': 2, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 2, 'impliedVolatility': 0, 'lastPrice': 1178, 'change': -72, 'pChange': -5.76, 'totalBuyQuantity': 3600, 'totalSellQuantity': 7950, 'bidQty': 1800, 'bidprice': 1054.3, 'askQty': 900, 'askPrice': 1311.25, 'underlyingValue': 25095.65}"
24350,24-Jul-2025,"{'strikePrice': 24350, 'expiryDate': '24-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-07-2025PE24350.00', 'openInterest': 13917, 'changeinOpenInterest': 6983, 'pchangeinOpenInterest': 100.70666282088261, 'totalTradedVolume': 281215, 'impliedVolatility': 17.13, 'lastPrice': 3.4, 'change': -6.5, 'pChange': -65.65656565656566, 'totalBuyQuantity': 100650, 'totalSellQuantity': 59325, 'bidQty': 75, 'bidprice': 3.1, 'askQty': 1650, 'askPrice': 3.4, 'underlyingValue': 25095.65}","{'strikePrice': 24350, 'expiryDate': '24-Jul-2025', 'underlying': 'NIFTY', 'identifier': 'OPTIDXNIFTY24-07-2025CE24350.00', 'openInterest': 19, 'changeinOpenInterest': 7, 'pchangeinOpenInterest': 58.333333333333336, 'totalTradedVolume': 56, 'impliedVolatility': 14.98, 'lastPrice': 766.95, 'change': 87.85000000000002, 'pChange': 12.936239140038289, 'totalBuyQuantity': 21000, 'totalSellQuantity': 13050, 'bidQty': 75, 'bidprice': 767.75, 'askQty': 300, 'askPrice': 774.5, 'underlyingValue': 25095.65}"
