strikePrice,expiryDate,identifier_CE,identifier_PE,CE_OI,PE_OI,CE_TotVol,PE_TotVol,CE_LTP,PE_LTP
54800,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE54800.00,OPTIDXBANKNIFTY31-07-2025PE54800.00,68.0,4962.0,22,35386,1560.7,8.75
54800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54800.00,OPTIDXBANKNIFTY28-08-2025PE54800.00,51.0,157.0,3,425,1870.0,216.25
54900,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE54900.00,OPTIDXBANKNIFTY31-07-2025PE54900.00,15.0,1822.0,34,31603,1368.85,10.1
54900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54900.00,OPTIDXBANKNIFTY28-08-2025PE54900.00,3.0,44.0,0,82,0.0,223.0
55000,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55000.00,OPTIDXBANKNIFTY31-07-2025PE55000.00,2478.0,33249.0,4006,189991,1353.45,11.95
55000,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55000.00,OPTIDXBANKNIFTY28-08-2025PE55000.00,3014.0,17051.0,1263,20467,1730.0,244.0
55000,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE55000.00,OPTIDXBANKNIFTY25-09-2025PE55000.00,363.0,3154.0,88,773,2209.65,439.75
55100,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55100.00,OPTIDXBANKNIFTY31-07-2025PE55100.00,27.0,2376.0,153,43445,1254.95,14.25
55100,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55100.00,OPTIDXBANKNIFTY28-08-2025PE55100.00,6.0,343.0,0,439,0.0,261.0
55200,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55200.00,OPTIDXBANKNIFTY31-07-2025PE55200.00,283.0,5011.0,851,103964,1155.35,15.65
55300,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55300.00,OPTIDXBANKNIFTY31-07-2025PE55300.00,162.0,3627.0,957,77551,1063.65,18.7
55400,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55400.00,OPTIDXBANKNIFTY31-07-2025PE55400.00,148.0,5636.0,1686,94246,966.95,23.0
55400,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55400.00,OPTIDXBANKNIFTY28-08-2025PE55400.00,25.0,483.0,8,666,1398.0,325.3
55500,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55500.00,OPTIDXBANKNIFTY31-07-2025PE55500.00,1794.0,22266.0,25388,257459,865.0,28.0
55500,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55500.00,OPTIDXBANKNIFTY28-08-2025PE55500.00,853.0,7647.0,1721,10261,1326.85,345.0
55500,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE55500.00,OPTIDXBANKNIFTY25-09-2025PE55500.00,221.85714285714286,877.0,40,268,1821.95,557.6
55600,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55600.00,OPTIDXBANKNIFTY31-07-2025PE55600.00,415.0,4288.0,12279,122002,764.25,34.6
55600,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55600.00,OPTIDXBANKNIFTY28-08-2025PE55600.00,38.0,616.0,121,842,1281.0,375.0
55700,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55700.00,OPTIDXBANKNIFTY31-07-2025PE55700.00,898.0,5664.0,30637,154391,673.55,43.05
55700,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55700.00,OPTIDXBANKNIFTY28-08-2025PE55700.00,142.0,964.0,537,1456,1179.95,401.45
55800,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55800.00,OPTIDXBANKNIFTY31-07-2025PE55800.00,2368.0,10295.0,79681,206747,583.35,53.95
55800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55800.00,OPTIDXBANKNIFTY28-08-2025PE55800.00,334.0,823.0,829,1973,1132.0,429.95
55800,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE55800.00,OPTIDXBANKNIFTY25-09-2025PE55800.00,8.0,0.0,6,0,1665.9,0.0
55900,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55900.00,OPTIDXBANKNIFTY31-07-2025PE55900.00,2265.0,7853.0,135308,250939,506.1,69.4
55900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55900.00,OPTIDXBANKNIFTY28-08-2025PE55900.00,248.0,630.0,1664,2181,1075.85,459.4
