strikePrice,expiryDate,CE_OI,PE_OI,CE_TotVol,PE_TotVol
23100,28-Aug-2025,1.0,262.0,0,5
23150,24-Jul-2025,2.0,3482.0,0,5292
23150,31-Jul-2025,19.0,239.0,0,234
23150,28-Aug-2025,3.0,30.0,0,0
23200,24-Jul-2025,4.0,5513.0,0,9028
23200,31-Jul-2025,530.0,2065.0,2,1961
23200,07-Aug-2025,0.0,105.0,0,39
23200,14-Aug-2025,0.0,15.0,0,17
23200,21-Aug-2025,0.0,0.0,0,1
23200,28-Aug-2025,50.0,1487.0,0,464
23200,25-Sep-2025,16.0,104.0,0,122
23250,24-Jul-2025,1.0,2028.0,0,4395
23250,31-Jul-2025,16.0,290.0,1,336
23250,07-Aug-2025,0.0,5.0,0,11
23250,14-Aug-2025,0.0,0.0,0,0
23250,21-Aug-2025,0.0,0.0,0,3
23250,28-Aug-2025,1.0,32.0,0,0
23250,25-Sep-2025,0.0,42.0,0,51
23300,24-Jul-2025,6.0,5713.0,0,12294
23300,31-Jul-2025,61.0,3115.0,0,4992
23300,07-Aug-2025,0.0,0.0,0,0
23300,14-Aug-2025,0.0,0.0,0,0
23300,21-Aug-2025,0.0,0.0,0,0
23300,28-Aug-2025,2.0,1934.0,0,147
23300,25-Sep-2025,0.0,285.0,0,98
23350,24-Jul-2025,0.0,2202.0,0,4205
23350,31-Jul-2025,15.0,680.0,0,650
23350,07-Aug-2025,0.0,123.0,0,57
23350,14-Aug-2025,0.0,81.0,0,74
23350,21-Aug-2025,0.0,1.0,0,0
23350,28-Aug-2025,1.0,25.0,0,0
23350,25-Sep-2025,0.0,387.0,0,71
23400,24-Jul-2025,9.0,6485.0,0,20762
23400,31-Jul-2025,162.0,4703.0,0,5358
23400,07-Aug-2025,0.0,204.0,0,38
23400,14-Aug-2025,0.0,90.0,0,76
23400,21-Aug-2025,0.0,6.0,0,6
23400,28-Aug-2025,4.0,1037.0,0,247
23400,25-Sep-2025,0.0,537.0,0,44
23450,24-Jul-2025,17.0,3573.0,0,8529
23450,31-Jul-2025,14.0,589.0,0,318
23450,07-Aug-2025,0.0,21.0,0,34
23450,14-Aug-2025,0.0,0.0,0,0
23450,21-Aug-2025,0.0,1.0,0,0
23450,28-Aug-2025,6.0,22.0,0,0
23450,25-Sep-2025,0.0,80.0,0,6
23500,24-Jul-2025,497.0,45002.0,20,93377
23500,31-Jul-2025,3735.0,30180.0,184,14742
23500,07-Aug-2025,3.0,1381.0,0,1098
23500,14-Aug-2025,0.0,282.0,0,328
23500,21-Aug-2025,0.0,0.0,0,0
23500,28-Aug-2025,346.0,8813.0,48,3976
23500,25-Sep-2025,0.0,2249.0,1,1754
23550,24-Jul-2025,10.0,3468.0,0,8393
23550,31-Jul-2025,20.0,1070.0,0,1316
23550,07-Aug-2025,0.0,0.0,0,0
23550,14-Aug-2025,0.0,0.0,0,0
23550,21-Aug-2025,0.0,0.0,0,0
23550,28-Aug-2025,5.0,104.0,0,3
23550,25-Sep-2025,0.0,53.0,0,16
23600,24-Jul-2025,10.0,8615.0,1,22707
23600,31-Jul-2025,205.0,4371.0,2,4623
23600,07-Aug-2025,0.0,87.0,0,38
23600,14-Aug-2025,0.0,24.0,0,8
23600,21-Aug-2025,0.0,18.0,0,24
23600,28-Aug-2025,11.0,2736.0,0,407
23600,25-Sep-2025,0.0,189.0,0,140
23650,24-Jul-2025,1.0,5310.0,0,9943
23650,31-Jul-2025,33.0,671.0,0,384
23650,07-Aug-2025,0.0,294.0,0,13
23650,14-Aug-2025,0.0,0.0,0,0
23650,21-Aug-2025,0.0,0.0,0,0
23650,28-Aug-2025,6.0,170.0,2,56
23650,25-Sep-2025,0.0,364.0,0,32
23700,24-Jul-2025,50.0,15473.0,0,38255
23700,31-Jul-2025,132.0,4576.0,2,4631
23700,07-Aug-2025,0.0,400.0,0,126
23700,14-Aug-2025,0.0,42.0,0,5
23700,21-Aug-2025,0.0,0.0,0,0
23700,28-Aug-2025,15.0,2050.0,3,383
