strikePrice,expiryDate,identifier_CE,identifier_PE,CE_OI,PE_OI,CE_TotVol,PE_TotVol,CE_LTP,PE_LTP
55700,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55700.00,OPTIDXBANKNIFTY31-07-2025PE55700.00,123.0,3836.0,257,27619,1560.25,38.6
55800,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55800.00,OPTIDXBANKNIFTY31-07-2025PE55800.00,343.0,5345.0,299,34632,1466.1,43.0
55800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55800.00,OPTIDXBANKNIFTY28-08-2025PE55800.00,70.0,212.0,9,534,1800.0,222.0
55900,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55900.00,OPTIDXBANKNIFTY31-07-2025PE55900.00,251.0,4917.0,274,30993,1375.8,49.55
55900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55900.00,OPTIDXBANKNIFTY28-08-2025PE55900.00,77.0,0.0,2,0,1749.6,0.0
56000,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56000.00,OPTIDXBANKNIFTY31-07-2025PE56000.00,10472.0,39984.0,27607,161282,1290.0,56.8
56000,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56000.00,OPTIDXBANKNIFTY28-08-2025PE56000.00,2096.0,11515.0,2432,13316,1630.0,259.3
56000,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56000.00,OPTIDXBANKNIFTY25-09-2025PE56000.00,317.0,950.0,123,569,2101.3,469.05
56100,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56100.00,OPTIDXBANKNIFTY31-07-2025PE56100.00,680.0,3299.0,591,26228,1195.1,63.95
56100,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56100.00,OPTIDXBANKNIFTY28-08-2025PE56100.00,120.0,215.0,16,438,1557.0,277.35
56200,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56200.00,OPTIDXBANKNIFTY31-07-2025PE56200.00,1173.0,5839.0,2914,37027,1106.0,74.5
56200,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56200.00,OPTIDXBANKNIFTY28-08-2025PE56200.00,91.0,339.0,20,461,1436.2,293.15
56300,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56300.00,OPTIDXBANKNIFTY31-07-2025PE56300.00,1848.0,9327.0,6146,48211,1012.6,85.55
56300,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56300.00,OPTIDXBANKNIFTY28-08-2025PE56300.00,160.0,278.0,72,504,1405.0,327.15
56400,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56400.00,OPTIDXBANKNIFTY31-07-2025PE56400.00,2491.0,7714.0,10036,50843,922.7,97.8
56400,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56400.00,OPTIDXBANKNIFTY28-08-2025PE56400.00,199.0,283.0,48,518,1331.85,347.2
56500,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56500.00,OPTIDXBANKNIFTY31-07-2025PE56500.00,9491.0,25744.0,70520,141703,844.05,114.75
56500,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56500.00,OPTIDXBANKNIFTY28-08-2025PE56500.00,2296.0,6581.0,3252,7142,1259.85,379.95
56500,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56500.00,OPTIDXBANKNIFTY25-09-2025PE56500.00,206.0,470.0,35,310,1741.3,592.0
56600,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56600.00,OPTIDXBANKNIFTY31-07-2025PE56600.00,2579.0,7057.0,34345,57104,764.8,131.9
56600,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56600.00,OPTIDXBANKNIFTY28-08-2025PE56600.00,224.0,542.0,201,559,1207.45,406.9
56700,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56700.00,OPTIDXBANKNIFTY31-07-2025PE56700.00,4366.0,10994.0,100992,109354,685.3,155.15
56700,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56700.00,OPTIDXBANKNIFTY28-08-2025PE56700.00,384.0,516.0,942,1071,1121.75,430.4
56700,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56700.00,OPTIDXBANKNIFTY25-09-2025PE56700.00,0.0,26.0,0,30,0.0,654.3
56800,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56800.00,OPTIDXBANKNIFTY31-07-2025PE56800.00,8210.0,14215.0,196378,207216,614.95,180.55
56800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56800.00,OPTIDXBANKNIFTY28-08-2025PE56800.00,687.0,808.0,1998,1658,1064.25,462.8
56900,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56900.00,OPTIDXBANKNIFTY31-07-2025PE56900.00,6872.0,13049.0,160830,141605,540.4,208.45
56900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56900.00,OPTIDXBANKNIFTY28-08-2025PE56900.00,457.0,766.0,1213,1040,992.45,499.95
57000,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE57000.00,OPTIDXBANKNIFTY31-07-2025PE57000.00,43631.0,45162.0,367696,264389,477.75,240.5
57000,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE57000.00,OPTIDXBANKNIFTY28-08-2025PE57000.00,40936.0,40522.0,31123,34403,921.05,525.85
57000,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE57000.00,OPTIDXBANKNIFTY25-09-2025PE57000.00,1197.5714285714287,2090.5714285714284,685,802,1405.3,750.5
57000,24-Dec-2025,OPTIDXBANKNIFTY24-12-2025CE57000.00,OPTIDXBANKNIFTY24-12-2025PE57000.00,604.0,4360.0,83,355,2660.0,1089.85
57100,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE57100.00,OPTIDXBANKNIFTY31-07-2025PE57100.00,12751.0,10741.0,156870,86759,417.0,279.8
57100,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE57100.00,OPTIDXBANKNIFTY28-08-2025PE57100.00,718.0,829.0,902,1070,862.6,582.9
57100,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE57100.00,OPTIDXBANKNIFTY25-09-2025PE57100.00,56.0,0.0,35,0,1352.35,0.0
57200,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE57200.00,OPTIDXBANKNIFTY31-07-2025PE57200.00,19932.0,11246.0,160228,93998,362.1,322.05
57200,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE57200.00,OPTIDXBANKNIFTY28-08-2025PE57200.00,890.0,1156.0,1379,1873,824.0,617.7
57200,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE57200.00,OPTIDXBANKNIFTY25-09-2025PE57200.00,9.0,0.0,3,0,1240.7,0.0
57300,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE57300.00,OPTIDXBANKNIFTY31-07-2025PE57300.00,12979.0,5929.0,98165,35732,311.05,374.25
57300,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE57300.00,OPTIDXBANKNIFTY28-08-2025PE57300.00,616.0,600.0,1121,924,753.9,666.35
57300,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE57300.00,OPTIDXBANKNIFTY25-09-2025PE57300.00,0.0,9.0,0,19,0.0,885.0
57400,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE57400.00,OPTIDXBANKNIFTY31-07-2025PE57400.00,7720.0,3401.0,53234,21218,265.0,423.95
57400,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE57400.00,OPTIDXBANKNIFTY28-08-2025PE57400.00,637.0,638.0,788,476,707.0,711.3
57500,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE57500.00,OPTIDXBANKNIFTY31-07-2025PE57500.00,34289.0,10865.0,204245,41105,226.15,490.45
57500,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE57500.00,OPTIDXBANKNIFTY28-08-2025PE57500.00,5453.0,3730.0,7452,4092,664.0,762.25
