strikePrice,expiryDate,CE_OI,PE_OI,CE_TotVol,PE_TotVol
23100,28-Aug-2025,1.0,261.0,0,12
23150,24-Jul-2025,2.0,2649.0,0,9009
23150,31-Jul-2025,19.0,239.0,0,235
23150,28-Aug-2025,3.0,30.0,0,0
23200,24-Jul-2025,4.0,5436.0,0,10594
23200,31-Jul-2025,530.0,2175.0,2,2427
23200,07-Aug-2025,0.0,117.0,0,75
23200,14-Aug-2025,0.0,17.0,0,24
23200,21-Aug-2025,0.0,0.0,0,1
23200,28-Aug-2025,50.0,1700.0,0,779
23200,25-Sep-2025,16.0,100.0,0,134
23250,24-Jul-2025,1.0,1872.0,0,5615
23250,31-Jul-2025,16.0,292.0,1,363
23250,07-Aug-2025,0.0,11.0,0,12
23250,14-Aug-2025,0.0,0.0,0,0
23250,21-Aug-2025,0.0,0.0,0,3
23250,28-Aug-2025,1.0,32.0,0,0
23250,25-Sep-2025,0.0,42.0,0,56
23300,24-Jul-2025,6.0,5390.0,0,15041
23300,31-Jul-2025,61.0,3314.0,1,5804
23300,07-Aug-2025,0.0,0.0,0,0
23300,14-Aug-2025,0.0,0.0,0,0
23300,21-Aug-2025,0.0,0.0,0,0
23300,28-Aug-2025,2.0,1970.0,0,188
23300,25-Sep-2025,0.0,286.0,0,112
23350,24-Jul-2025,0.0,2151.0,0,5622
23350,31-Jul-2025,15.0,694.0,0,786
23350,07-Aug-2025,0.0,123.0,0,57
23350,14-Aug-2025,0.0,81.0,0,80
23350,21-Aug-2025,0.0,1.0,0,0
23350,28-Aug-2025,1.0,25.0,0,0
23350,25-Sep-2025,0.0,387.0,0,79
23400,24-Jul-2025,9.0,6278.0,0,23354
23400,31-Jul-2025,162.0,4606.0,3,5939
23400,07-Aug-2025,0.0,204.0,0,44
23400,14-Aug-2025,0.0,89.0,0,79
23400,21-Aug-2025,0.0,6.0,0,6
23400,28-Aug-2025,4.0,973.0,0,452
23400,25-Sep-2025,0.0,542.0,0,51
23450,24-Jul-2025,17.0,3294.0,0,10210
23450,31-Jul-2025,14.0,540.0,0,424
23450,07-Aug-2025,0.0,21.0,0,34
23450,14-Aug-2025,0.0,0.0,0,0
23450,21-Aug-2025,0.0,1.0,0,0
23450,28-Aug-2025,6.0,22.0,0,0
23450,25-Sep-2025,0.0,97.0,0,34
23500,24-Jul-2025,497.0,38777.0,51,107000
23500,31-Jul-2025,3738.0,29840.0,204,20273
23500,07-Aug-2025,3.0,1414.0,0,1432
23500,14-Aug-2025,0.0,282.0,0,328
23500,21-Aug-2025,0.0,0.0,0,0
23500,28-Aug-2025,348.0,8667.0,50,4902
23500,25-Sep-2025,0.0,2503.0,1,2522
23550,24-Jul-2025,10.0,3188.0,0,9704
23550,31-Jul-2025,20.0,1040.0,0,1435
23550,07-Aug-2025,0.0,0.0,0,0
23550,14-Aug-2025,0.0,0.0,0,0
23550,21-Aug-2025,0.0,0.0,0,0
23550,28-Aug-2025,5.0,104.0,0,4
23550,25-Sep-2025,0.0,57.0,0,18
23600,24-Jul-2025,10.0,7447.0,1,27578
23600,31-Jul-2025,205.0,4382.0,2,5717
23600,07-Aug-2025,0.0,93.0,0,57
23600,14-Aug-2025,0.0,24.0,0,8
23600,21-Aug-2025,0.0,18.0,0,24
23600,28-Aug-2025,11.0,2611.0,0,629
23600,25-Sep-2025,0.0,189.0,0,146
23650,24-Jul-2025,1.0,5281.0,0,11189
23650,31-Jul-2025,33.0,739.0,0,566
23650,07-Aug-2025,0.0,291.0,0,22
23650,14-Aug-2025,0.0,0.0,0,0
23650,21-Aug-2025,0.0,0.0,0,0
23650,28-Aug-2025,6.0,172.0,2,57
23650,25-Sep-2025,0.0,372.0,0,47
23700,24-Jul-2025,50.0,14353.0,0,47110
23700,31-Jul-2025,133.0,4551.0,3,5526
23700,07-Aug-2025,0.0,412.0,0,160
23700,14-Aug-2025,0.0,42.0,0,7
23700,21-Aug-2025,0.0,0.0,0,0
23700,28-Aug-2025,15.0,2179.0,3,586
23700,25-Sep-2025,1.0,906.0,0,349
23750,24-Jul-2025,1.0,5186.0,4,38941
23750,31-Jul-2025,41.0,939.0,4,2068
23750,07-Aug-2025,1.0,0.0,2,0
23750,14-Aug-2025,0.0,0.0,0,0
23750,21-Aug-2025,0.0,0.0,0,0
23750,28-Aug-2025,16.0,17.0,2,0
23750,25-Sep-2025,1.0,395.0,0,20
23800,24-Jul-2025,37.0,23348.0,1,119275
23800,31-Jul-2025,333.0,10403.0,10,9295
23800,07-Aug-2025,1.0,755.0,2,438
23800,14-Aug-2025,0.0,0.0,0,0
23800,21-Aug-2025,0.0,0.0,0,0
23800,28-Aug-2025,35.0,3756.0,3,1505
