strikePrice,expiryDate,CE_OI,PE_OI,CE_TotVol,PE_TotVol
52700,25-Sep-2025,0.0,0.0,0,0
52800,31-Jul-2025,3.0,524.0,0,805
52800,28-Aug-2025,0.0,0.0,0,0
52800,25-Sep-2025,0.0,0.0,0,0
52900,31-Jul-2025,2.0,424.0,0,2076
52900,28-Aug-2025,0.0,0.0,0,0
52900,25-Sep-2025,0.0,0.0,0,0
53000,31-Jul-2025,2550.0,23844.0,127,17178
53000,28-Aug-2025,385.0,6220.0,24,3572
53000,25-Sep-2025,21.0,602.0,10,41
53100,31-Jul-2025,25.0,609.0,0,914
53100,28-Aug-2025,0.0,1.0,0,0
53100,25-Sep-2025,0.0,0.0,0,0
53200,31-Jul-2025,10.0,1608.0,0,670
53200,28-Aug-2025,0.0,1.0,0,0
53200,25-Sep-2025,0.0,0.0,0,0
53300,31-Jul-2025,3.0,470.0,0,478
53300,28-Aug-2025,0.0,0.0,0,0
53300,25-Sep-2025,2.0,0.0,0,0
53400,31-Jul-2025,5.0,468.0,0,1353
53400,28-Aug-2025,0.0,0.0,0,0
53400,25-Sep-2025,0.0,0.0,0,0
53500,31-Jul-2025,1332.0,9913.0,6,21505
53500,28-Aug-2025,14.0,3622.0,1,522
53500,25-Sep-2025,0.0,0.0,0,0
53600,31-Jul-2025,11.0,3080.0,0,4072
53600,28-Aug-2025,0.0,0.0,0,0
53600,25-Sep-2025,2.0,0.0,0,0
53700,31-Jul-2025,20.0,974.0,0,2127
53700,28-Aug-2025,0.0,0.0,0,0
53700,25-Sep-2025,0.0,0.0,0,0
53800,31-Jul-2025,8.0,1077.0,0,1524
53800,28-Aug-2025,0.0,0.0,0,0
53800,25-Sep-2025,0.0,0.0,0,0
53900,31-Jul-2025,12.0,868.0,0,2653
53900,28-Aug-2025,0.0,0.0,0,0
53900,25-Sep-2025,0.0,0.0,0,0
54000,31-Jul-2025,2733.0,21721.0,84,29805
54000,28-Aug-2025,520.0,6950.0,42,2756
54000,25-Sep-2025,425.42857142857144,3110.5714285714284,6,390
54000,24-Dec-2025,51.0,1486.0,0,132
54000,26-Mar-2026,0.0,0.0,0,0
54000,30-Jun-2026,0.0,0.0,0,0
54100,31-Jul-2025,7.0,4225.0,0,6286
54100,28-Aug-2025,0.0,0.0,0,0
54100,25-Sep-2025,0.0,0.0,0,0
54200,31-Jul-2025,8.0,1690.0,0,2278
54200,28-Aug-2025,0.0,0.0,0,0
54200,25-Sep-2025,0.0,0.0,0,0
54300,31-Jul-2025,6.0,1279.0,0,3260
54300,28-Aug-2025,0.0,1.0,0,0
54300,25-Sep-2025,3.0,0.0,0,0
54400,31-Jul-2025,11.0,1360.0,0,5130
54400,28-Aug-2025,0.0,0.0,0,0
54400,25-Sep-2025,0.0,0.0,0,0
54500,31-Jul-2025,1087.0,11460.0,65,28415
54500,28-Aug-2025,45.0,4767.0,11,2037
54500,25-Sep-2025,0.0,0.0,0,0
