strikePrice,expiryDate,PE,CE
59500,31-Jul-2025,"{'strikePrice': 59500, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025PE59500.00', 'openInterest': 152, 'changeinOpenInterest': -6, 'pchangeinOpenInterest': -3.7974683544303796, 'totalTradedVolume': 20, 'impliedVolatility': 24.87, 'lastPrice': 2601.85, 'change': -502.5500000000002, 'pChange': -16.1883133616802, 'totalBuyQuantity': 4340, 'totalSellQuantity': 3815, 'bidQty': 35, 'bidprice': 2506.6, 'askQty': 70, 'askPrice': 2532.35, 'underlyingValue': 56932.95}","{'strikePrice': 59500, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025CE59500.00', 'openInterest': 11467, 'changeinOpenInterest': -12528, 'pchangeinOpenInterest': -52.21087726609711, 'totalTradedVolume': 84185, 'impliedVolatility': 12.68, 'lastPrice': 11.2, 'change': -6.900000000000002, 'pChange': -38.121546961325976, 'totalBuyQuantity': 42665, 'totalSellQuantity': 23975, 'bidQty': 175, 'bidprice': 11.15, 'askQty': 560, 'askPrice': 11.5, 'underlyingValue': 56932.95}"
59500,28-Aug-2025,"{'strikePrice': 59500, 'expiryDate': '28-Aug-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY28-08-2025PE59500.00', 'openInterest': 11, 'changeinOpenInterest': 7, 'pchangeinOpenInterest': 175, 'totalTradedVolume': 10, 'impliedVolatility': 18.21, 'lastPrice': 2550, 'change': -400, 'pChange': -13.559322033898304, 'totalBuyQuantity': 2905, 'totalSellQuantity': 2415, 'bidQty': 35, 'bidprice': 2278.55, 'askQty': 35, 'askPrice': 2460, 'underlyingValue': 56932.95}","{'strikePrice': 59500, 'expiryDate': '28-Aug-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY28-08-2025CE59500.00', 'openInterest': 2864, 'changeinOpenInterest': -321, 'pchangeinOpenInterest': -10.078492935635794, 'totalTradedVolume': 4906, 'impliedVolatility': 9.6, 'lastPrice': 126, 'change': -0.7000000000000028, 'pChange': -0.5524861878453061, 'totalBuyQuantity': 5460, 'totalSellQuantity': 1190, 'bidQty': 35, 'bidprice': 125.05, 'askQty': 35, 'askPrice': 128, 'underlyingValue': 56932.95}"
59500,25-Sep-2025,"{'strikePrice': 59500, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025PE59500.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 0, 'totalSellQuantity': 2135, 'bidQty': 0, 'bidprice': 0, 'askQty': 350, 'askPrice': 3916.05, 'underlyingValue': 56932.95}","{'strikePrice': 59500, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025CE59500.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 0, 'totalSellQuantity': 2975, 'bidQty': 0, 'bidprice': 0, 'askQty': 490, 'askPrice': 1067.2, 'underlyingValue': 56932.95}"
59600,31-Jul-2025,"{'strikePrice': 59600, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025PE59600.00', 'openInterest': 4, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 5425, 'totalSellQuantity': 4130, 'bidQty': 35, 'bidprice': 2559.25, 'askQty': 35, 'askPrice': 2766.6, 'underlyingValue': 56932.95}","{'strikePrice': 59600, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025CE59600.00', 'openInterest': 1569, 'changeinOpenInterest': 136, 'pchangeinOpenInterest': 9.490579204466155, 'totalTradedVolume': 4640, 'impliedVolatility': 12.91, 'lastPrice': 10.15, 'change': -6.6, 'pChange': -39.40298507462686, 'totalBuyQuantity': 17360, 'totalSellQuantity': 5040, 'bidQty': 35, 'bidprice': 9.5, 'askQty': 70, 'askPrice': 10.75, 'underlyingValue': 56932.95}"
59600,28-Aug-2025,"{'strikePrice': 59600, 'expiryDate': '28-Aug-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY28-08-2025PE59600.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 1645, 'totalSellQuantity': 1785, 'bidQty': 35, 'bidprice': 2212.55, 'askQty': 595, 'askPrice': 2966.3, 'underlyingValue': 56932.95}","{'strikePrice': 59600, 'expiryDate': '28-Aug-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY28-08-2025CE59600.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 0, 'totalSellQuantity': 1785, 'bidQty': 0, 'bidprice': 0, 'askQty': 1785, 'askPrice': 251.4, 'underlyingValue': 56932.95}"
59600,25-Sep-2025,"{'strikePrice': 59600, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025PE59600.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 0, 'totalSellQuantity': 0, 'bidQty': 0, 'bidprice': 0, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 56932.95}","{'strikePrice': 59600, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025CE59600.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 0, 'totalSellQuantity': 1785, 'bidQty': 0, 'bidprice': 0, 'askQty': 595, 'askPrice': 1246.7, 'underlyingValue': 56932.95}"
59700,31-Jul-2025,"{'strikePrice': 59700, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025PE59700.00', 'openInterest': 5, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 4445, 'totalSellQuantity': 4410, 'bidQty': 35, 'bidprice': 2581.25, 'askQty': 35, 'askPrice': 2865.9, 'underlyingValue': 56932.95}","{'strikePrice': 59700, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025CE59700.00', 'openInterest': 1298, 'changeinOpenInterest': -124, 'pchangeinOpenInterest': -8.720112517580873, 'totalTradedVolume': 8125, 'impliedVolatility': 13.17, 'lastPrice': 9.5, 'change': -5.800000000000001, 'pChange': -37.90849673202615, 'totalBuyQuantity': 18375, 'totalSellQuantity': 6895, 'bidQty': 840, 'bidprice': 9.1, 'askQty': 70, 'askPrice': 9.5, 'underlyingValue': 56932.95}"
59700,28-Aug-2025,"{'strikePrice': 59700, 'expiryDate': '28-Aug-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY28-08-2025PE59700.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 2205, 'totalSellQuantity': 1785, 'bidQty': 595, 'bidprice': 2441.75, 'askQty': 595, 'askPrice': 3067.8, 'underlyingValue': 56932.95}","{'strikePrice': 59700, 'expiryDate': '28-Aug-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY28-08-2025CE59700.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 0, 'totalSellQuantity': 1855, 'bidQty': 0, 'bidprice': 0, 'askQty': 35, 'askPrice': 239.75, 'underlyingValue': 56932.95}"
59700,25-Sep-2025,"{'strikePrice': 59700, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025PE59700.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 630, 'totalSellQuantity': 0, 'bidQty': 35, 'bidprice': 2172.05, 'askQty': 0, 'askPrice': 0, 'underlyingValue': 56932.95}","{'strikePrice': 59700, 'expiryDate': '25-Sep-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY25-09-2025CE59700.00', 'openInterest': 0, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 0, 'totalSellQuantity': 1925, 'bidQty': 0, 'bidprice': 0, 'askQty': 140, 'askPrice': 1390.35, 'underlyingValue': 56932.95}"
59800,31-Jul-2025,"{'strikePrice': 59800, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025PE59800.00', 'openInterest': 10, 'changeinOpenInterest': 0, 'pchangeinOpenInterest': 0, 'totalTradedVolume': 0, 'impliedVolatility': 0, 'lastPrice': 0, 'change': 0, 'pChange': 0, 'totalBuyQuantity': 5390, 'totalSellQuantity': 4725, 'bidQty': 35, 'bidprice': 2754.5, 'askQty': 35, 'askPrice': 2962.95, 'underlyingValue': 56932.95}","{'strikePrice': 59800, 'expiryDate': '31-Jul-2025', 'underlying': 'BANKNIFTY', 'identifier': 'OPTIDXBANKNIFTY31-07-2025CE59800.00', 'openInterest': 2367, 'changeinOpenInterest': 79, 'pchangeinOpenInterest': 3.452797202797203, 'totalTradedVolume': 9665, 'impliedVolatility': 13.3, 'lastPrice': 8.15, 'change': -5.549999999999999, 'pChange': -40.51094890510949, 'totalBuyQuantity': 16905, 'totalSellQuantity': 5180, 'bidQty': 280, 'bidprice': 8.3, 'askQty': 70, 'askPrice': 9.3, 'underlyingValue': 56932.95}"
