strikePrice,expiryDate,identifier_CE,identifier_PE,CE_OI,PE_OI,CE_TotVol,PE_TotVol,CE_LTP,PE_LTP
54500,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE54500.00,OPTIDXBANKNIFTY31-07-2025PE54500.00,188.0,23867.0,562,499867,1461.8,0.05
54500,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54500.00,OPTIDXBANKNIFTY28-08-2025PE54500.00,705.0,11158.0,805,17395,1860.0,195.35
54500,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE54500.00,OPTIDXBANKNIFTY25-09-2025PE54500.00,13.0,0.0,23,0,2535.55,0.0
54600,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE54600.00,OPTIDXBANKNIFTY31-07-2025PE54600.00,21.0,7857.0,39,210928,1498.6,0.1
54600,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54600.00,OPTIDXBANKNIFTY28-08-2025PE54600.00,5.0,477.0,7,1237,1776.0,213.55
54700,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE54700.00,OPTIDXBANKNIFTY31-07-2025PE54700.00,15.0,6501.0,86,282252,1266.1,0.05
54700,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54700.00,OPTIDXBANKNIFTY28-08-2025PE54700.00,108.0,417.0,12,1230,1700.0,225.7
54800,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE54800.00,OPTIDXBANKNIFTY31-07-2025PE54800.00,178.0,5691.0,736,290771,1161.9,0.05
54800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54800.00,OPTIDXBANKNIFTY28-08-2025PE54800.00,107.0,822.0,42,2133,1710.3,248.1
54900,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE54900.00,OPTIDXBANKNIFTY31-07-2025PE54900.00,70.0,5724.0,1061,319307,1061.65,0.15
54900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE54900.00,OPTIDXBANKNIFTY28-08-2025PE54900.00,7.0,569.0,6,1909,1528.55,264.0
55000,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55000.00,OPTIDXBANKNIFTY31-07-2025PE55000.00,1665.0,27515.0,17564,1114377,962.95,0.1
55000,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55000.00,OPTIDXBANKNIFTY28-08-2025PE55000.00,4215.0,20448.0,6551,39828,1465.1,284.1
55000,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE55000.00,OPTIDXBANKNIFTY25-09-2025PE55000.00,423.0,3398.0,244,2325,1939.7,475.0
55100,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55100.00,OPTIDXBANKNIFTY31-07-2025PE55100.00,231.0,5189.0,4478,517296,864.1,0.1
55100,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55100.00,OPTIDXBANKNIFTY28-08-2025PE55100.00,12.0,822.0,11,3167,1385.0,308.25
55200,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55200.00,OPTIDXBANKNIFTY31-07-2025PE55200.00,446.0,9120.0,16971,793581,761.65,0.15
55200,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55200.00,OPTIDXBANKNIFTY28-08-2025PE55200.00,250.0,430.0,438,2681,1325.0,331.5
55300,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55300.00,OPTIDXBANKNIFTY31-07-2025PE55300.00,449.0,10188.0,37961,986964,661.8,0.1
55300,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55300.00,OPTIDXBANKNIFTY28-08-2025PE55300.00,17.0,500.0,64,2526,1246.7,349.0
55400,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55400.00,OPTIDXBANKNIFTY31-07-2025PE55400.00,958.0,9995.0,81939,1296422,561.2,0.1
55400,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55400.00,OPTIDXBANKNIFTY28-08-2025PE55400.00,259.0,906.0,761,4376,1167.75,381.7
55500,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55500.00,OPTIDXBANKNIFTY31-07-2025PE55500.00,4839.0,28043.0,362944,2602991,461.0,0.05
55500,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55500.00,OPTIDXBANKNIFTY28-08-2025PE55500.00,6494.0,14388.0,21736,44298,1097.4,415.0
55500,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE55500.00,OPTIDXBANKNIFTY25-09-2025PE55500.00,254.85714285714286,1471.0,974,867,1588.2,621.7
55500,24-Dec-2025,OPTIDXBANKNIFTY24-12-2025CE55500.00,OPTIDXBANKNIFTY24-12-2025PE55500.00,0.0,612.7142857142857,0,119,0.0,900.0
55600,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55600.00,OPTIDXBANKNIFTY31-07-2025PE55600.00,3942.0,13747.0,684438,2090896,361.4,0.1
55600,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55600.00,OPTIDXBANKNIFTY28-08-2025PE55600.00,735.0,1639.0,6983,13382,1015.0,438.0
55700,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55700.00,OPTIDXBANKNIFTY31-07-2025PE55700.00,3969.0,19142.0,1015904,2387036,263.15,0.05
55700,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55700.00,OPTIDXBANKNIFTY28-08-2025PE55700.00,835.0,1641.0,7036,12691,966.35,482.0
55700,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE55700.00,OPTIDXBANKNIFTY25-09-2025PE55700.00,13.0,0.0,15,0,1390.0,0.0
55800,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55800.00,OPTIDXBANKNIFTY31-07-2025PE55800.00,10866.0,26945.0,1660156,3027935,161.45,0.05
55800,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55800.00,OPTIDXBANKNIFTY28-08-2025PE55800.00,1460.0,2512.0,12475,20315,911.95,514.55
55800,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE55800.00,OPTIDXBANKNIFTY25-09-2025PE55800.00,76.0,65.0,152,76,1370.7,712.15
55900,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE55900.00,OPTIDXBANKNIFTY31-07-2025PE55900.00,15240.0,44682.0,2171093,4004898,61.5,0.05
55900,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE55900.00,OPTIDXBANKNIFTY28-08-2025PE55900.00,2114.0,2703.0,11444,18407,857.65,543.6
56000,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56000.00,OPTIDXBANKNIFTY31-07-2025PE56000.00,76443.0,52592.0,4706925,6633037,0.05,38.0
56000,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56000.00,OPTIDXBANKNIFTY28-08-2025PE56000.00,15262.0,21317.0,82921,89525,788.0,585.05
56000,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56000.00,OPTIDXBANKNIFTY25-09-2025PE56000.00,875.0,1790.0,1747,2234,1276.2,779.45
56100,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56100.00,OPTIDXBANKNIFTY31-07-2025PE56100.00,23608.0,12103.0,3591483,3884316,0.05,137.9
56100,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56100.00,OPTIDXBANKNIFTY28-08-2025PE56100.00,1965.0,1588.0,12163,12261,732.0,626.0
56100,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56100.00,OPTIDXBANKNIFTY25-09-2025PE56100.00,2.0,39.0,4,50,1186.05,836.8
56200,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56200.00,OPTIDXBANKNIFTY31-07-2025PE56200.00,23838.0,10112.0,4738667,3124137,0.05,237.15
56200,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56200.00,OPTIDXBANKNIFTY28-08-2025PE56200.00,3135.0,2511.0,18530,17577,670.0,676.65
56200,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56200.00,OPTIDXBANKNIFTY25-09-2025PE56200.00,1.0,0.0,6,0,1125.0,0.0
56300,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56300.00,OPTIDXBANKNIFTY31-07-2025PE56300.00,19625.0,15404.0,4783377,2157316,0.05,337.1
56300,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56300.00,OPTIDXBANKNIFTY28-08-2025PE56300.00,3032.0,1774.0,15737,13638,625.95,728.85
56300,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56300.00,OPTIDXBANKNIFTY25-09-2025PE56300.00,59.0,37.0,62,44,1093.7,913.3
56400,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56400.00,OPTIDXBANKNIFTY31-07-2025PE56400.00,23815.0,10016.0,4244168,888058,0.05,435.9
56400,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56400.00,OPTIDXBANKNIFTY28-08-2025PE56400.00,2002.0,1275.0,10843,6689,578.55,785.25
56400,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56400.00,OPTIDXBANKNIFTY25-09-2025PE56400.00,42.0,20.0,53,39,1036.85,993.25
56500,31-Jul-2025,OPTIDXBANKNIFTY31-07-2025CE56500.00,OPTIDXBANKNIFTY31-07-2025PE56500.00,24540.0,7868.0,4611069,450584,0.1,538.75
56500,28-Aug-2025,OPTIDXBANKNIFTY28-08-2025CE56500.00,OPTIDXBANKNIFTY28-08-2025PE56500.00,13174.0,10274.0,55400,34298,525.0,829.2
56500,25-Sep-2025,OPTIDXBANKNIFTY25-09-2025CE56500.00,OPTIDXBANKNIFTY25-09-2025PE56500.00,480.0,612.0,694,471,1002.8,999.2
